image_id,cluster,PC1,PC2,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight,labels_txt_normalized
113,3,4.441112290562205,-0.5833828688296722,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
114,3,1.4008064663839004,3.77630200345908,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
115,3,1.3378745341039306,0.0037308580299160823,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
116,3,3.9832257865112486,1.011954869228626,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
117,3,1.3902826591736137,0.13932484000153966,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
118,3,5.610828198593463,2.642814795620262,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
119,3,3.080842369565775,0.42897740986655203,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
120,3,3.3005060463578917,2.0581834187433525,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
121,2,0.6422108008893591,-0.002376568587315487,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
122,3,3.6661201682992175,2.5483419368691167,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
123,2,-1.2772783817735374,-1.358938703604259,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
124,3,2.4923102885087207,0.263220111260087,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
125,3,3.78011402503591,-1.1936009312420643,text meme,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
126,3,3.778079261240093,-3.367803754208645,text politik,"politik,text",,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0,politik text
127,3,2.532124687796915,-0.7513958513906636,text politik,"politik,text",,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0,politik text
128,2,0.49385381800448797,-3.571345210302395,text (ort),text,ort,0,0,0,1,1,0.0,0.0,0.0,0.5,1.0,ort text
129,2,-1.2496480287419507,-0.9163447370065837,text (ort),text,ort,0,0,0,1,1,0.0,0.0,0.0,0.5,1.0,ort text
130,3,3.0074402254848303,-0.5407220807210542,text (ort),text,ort,0,0,0,1,1,0.0,0.0,0.0,0.5,1.0,ort text
131,3,1.084171010772813,0.9316971805966446,text person (politik),"person,text",politik,0,1,1,0,1,0.0,1.0,0.5,0.0,1.0,person politik text
132,3,2.549105221222078,-0.5368405077312881,text person,"person,text",,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,person text
133,3,2.845771096995507,2.197431721863954,text person,"person,text",,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,person text
134,3,3.344698298724932,-1.121227646290174,text politik (person),"politik,text",person,0,1,1,0,1,0.0,0.5,1.0,0.0,1.0,person politik text
