image_id,primary_label,fixations_total,fixations_first_third,fixations_last_third,view_time_total_sum_ms,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,pupil_mm_std,pupil_norm_mean,pupil_norm_std,pupil_norm_abs_mean,pupil_norm_rms,pupil_size_norm_n,avg_pupil_size_n
128,text,1603,582,503,510328.0,252.0,232.6,233.5,295.5,1985.0,4.743,3.619,0.147,-0.0,1.0,0.785,0.983,33.375,33.395833333333336
129,ort,1223,493,350,384698.0,248.0,199.7,196.2,373.5,2588.6,4.412,3.598,0.176,-0.0,1.0,0.797,0.977,25.479166666666668,25.479166666666668
130,ort,1780,609,557,526246.0,230.6,199.7,229.3,275.9,2994.5,4.846,3.632,0.191,0.0,1.0,0.767,0.985,37.083333333333336,37.083333333333336
131,person,1390,545,409,433417.0,227.6,199.6,191.2,276.6,3334.8,4.378,3.673,0.147,0.0,1.0,0.791,0.973,28.367346938775512,28.367346938775512
132,person,1636,562,528,476152.0,214.7,191.7,209.3,226.7,3797.3,4.63,3.666,0.163,-0.0,1.0,0.781,0.978,33.38775510204081,33.38775510204081
133,person,1528,549,479,449845.0,219.3,183.3,202.2,248.5,3799.9,4.586,3.613,0.166,-0.0,1.0,0.796,0.982,31.163265306122447,31.183673469387756
134,politik,1788,664,559,565233.0,241.8,208.0,217.4,266.1,3452.3,4.669,3.451,0.16,0.0,1.0,0.752,0.976,36.48979591836735,36.48979591836735
135,politik,1085,422,315,387342.0,291.6,217.1,245.9,371.7,2177.7,4.141,3.384,0.193,0.0,1.0,0.735,0.974,23.085106382978722,23.085106382978722
136,politik,2187,765,718,613784.0,212.8,199.7,202.5,218.9,4362.9,5.15,3.667,0.151,0.0,1.0,0.778,0.988,44.63265306122449,44.63265306122449
137,politik,1361,494,435,445510.0,270.1,228.7,255.5,297.1,2909.5,4.342,3.631,0.157,-0.0,1.0,0.792,0.977,28.354166666666668,28.354166666666668
138,politik,1835,661,561,550469.0,239.1,199.7,226.4,273.6,2778.4,4.792,3.372,0.162,-0.0,1.0,0.741,0.986,37.42857142857143,37.44897959183673
139,politik,1870,681,581,632673.0,284.1,224.9,269.3,323.0,3006.8,4.737,3.699,0.154,0.0,1.0,0.792,0.986,38.16326530612245,38.16326530612245
