image_id,number_of_fixations,view_time_total_sum,fixation_duration_mean_weighted,fixation_duration_median_approx,scanpath_length_mean,BCEA_68_mean,BCEA_95_mean,primary_label_top,pupil_size_norm_mean,pupil_size_norm_std,fix_dur_mean_first_third,fix_dur_mean_last_third,n_fix_first_third,n_fix_last_third
061,1029,385447.7,300.6246370582919,266.2170000000002,2284.9434612498126,72439.58545004,190630.48802642105,person,-1.5558732066824915e-16,1.0,284.9166497400748,322.34192456894954,351,346
062,1380,444488.999,253.65056824747612,224.9117500000001,2864.100886237869,91342.43602199342,240374.83163682485,person,-1.8086935738379597e-16,1.0,248.70384685083596,272.7870101265259,495,435
063,1173,426565.171,273.3443712425946,216.625,3054.2846034832514,106772.99118450533,280981.5557486983,person,-2.1757712580324872e-16,1.0,242.44761699876597,338.5119132142768,445,354
064,1016,407012.159,314.15264304082604,253.67800000000022,2536.662782323686,68365.25327587385,179908.5612522996,person,-1.1888502950147938e-16,1.0,286.31845446706075,372.54924645892305,373,323
065,1142,420484.879,328.9089211806363,233.13549999999975,2591.4797626151817,75760.13715663155,199368.78199113568,person,1.621517596610947e-16,1.0,321.7901747972514,399.86768496908184,396,371
066,1364,455484.235,270.50787002920123,233.37275000000005,2600.988613860703,67157.95468599438,176731.45969998522,person,-8.511109740144066e-17,1.0,264.5747895927313,281.20459500202276,478,450
067,1159,429020.913,303.99218039752975,249.57799999999952,2476.850483310355,57282.12138893838,150742.42470773263,person,3.4213501635316095e-16,1.0,292.34136296522274,300.3109664327636,407,395
068,1381,466479.181,279.0692070780596,232.73999999999967,3028.722301752382,80352.80517176354,211454.75045200935,person,1.6071600939362903e-16,1.0,273.4315876235897,294.3362406758292,478,453
069,1230,430673.172,274.1899538635785,228.54449999999974,3256.376683799956,98386.37986671267,258911.52596503336,person,-1.7304243660916574e-16,1.0,248.27467673163062,345.1122019215466,445,394
070,1071,410528.34,308.7901780068784,240.95649999999995,2591.710430652002,83474.90914816942,219670.8135478143,person,-4.635936226410851e-16,1.0,297.10533768976455,328.5048904525779,391,350
071,1212,453759.102,309.20022743666965,241.4845,2805.9161265048338,74424.66187315904,195854.37335041855,person,-5.462686189993617e-16,1.0,323.2757176926202,323.4794348073189,410,406
072,1217,430041.798,284.3872527845014,233.3085000000001,2780.5362605514865,70825.4639237878,186382.7997994416,person,2.7064567552448547e-16,1.0,276.24012717961386,310.4015629836347,416,399
073,1333,476238.208,301.56906414957297,249.57799999999952,3119.6408160212027,68518.76771072377,180312.54660716784,person,-2.6738431467156627e-16,1.0,276.32612351887116,308.5018156035272,470,440
074,1280,434852.407,276.71104338150195,232.88799999999992,2469.78714843915,56400.48871555383,148422.3387251417,person,6.370609462694024e-17,1.0,258.58683698093506,333.2500898396742,473,384
075,1149,421029.857,304.9698243447518,233.54100000000017,2721.5303061278446,98272.57413643187,258612.0372011365,person,1.6197102178474727e-16,1.0,303.73213459457213,323.8198238820137,390,378
076,1121,396001.543,284.4005360551207,216.9185,2782.2939777020924,69833.31135530598,183771.87198764732,person,-8.995343125997259e-16,1.0,252.11361218223553,367.22925745541306,404,361
077,1122,409301.389,306.3921473185215,233.2197499999999,2512.3949035308347,61908.00711470059,162915.8081965805,person,5.532712337844712e-16,1.0,316.06592484919594,304.7170940709175,378,391
078,1385,471136.277,271.02910973974457,233.4219999999998,3087.17017199939,83320.90018712003,219265.5268082106,person,3.7628041602852966e-16,1.0,267.48707065273163,274.93704722239664,474,460
079,1347,474171.879,287.5102615202998,232.92075000000048,2816.5839357987807,84727.45340981618,222966.98265741102,person,-2.7576769333913315e-16,1.0,274.98108739373595,293.0196200253212,464,459
080,1163,443187.817,299.18580487354194,249.54100000000017,3585.8538651076497,103151.53418480507,271451.40574948705,person,2.660042398288138e-17,1.0,294.5644106387194,305.1996180077092,420,383
081,1227,442408.699,298.4081289409343,249.57499999999976,2688.8542606119995,65213.64959366772,171614.86735175716,person,8.274703219138242e-16,1.0,295.4726121178828,311.75523046536796,415,403
082,1317,448493.495,274.23538799679363,241.3552499999999,2796.4088107811754,64422.487783546014,169532.86258827904,person,2.865588612790511e-16,1.0,263.65983390225483,291.0893025996862,467,426
083,1307,450266.995,281.97044815818083,232.805,3021.682697951883,94552.52145199814,248822.42487367935,person,2.3970214224736255e-16,1.0,265.0083194804062,309.9082164729378,466,425
084,1102,433957.446,338.30121938188574,249.637,2176.8915929432965,49851.945881920095,131189.33126821078,person,-5.311253629025221e-16,1.0,326.52335061816933,399.92676238220395,392,349
085,1206,418279.26900000003,288.2679392112631,241.28625000000002,2877.367042280897,84247.45178050722,221703.82047501905,person,-1.539292223650446e-16,1.0,285.9511644342256,314.07955471905024,417,388
086,964,393039.508,351.00484425650853,257.99649999999974,1942.470788151828,56344.98872947457,148276.28613019624,person,-1.9378190882022816e-16,1.0,332.8938671223234,533.1125991530512,336,307
087,1161,397994.608,269.7978436192072,216.7054999999998,3072.7790075026764,91104.35263094655,239748.2963972278,person,3.8209151490870326e-18,1.0,289.04434089354356,303.98731006040936,399,372
088,1899,557779.202,213.61851505330435,187.56200000000027,4731.044372214274,148167.73600969955,389915.0947623672,politik,1.265687651273432e-17,1.0,195.65125393246362,245.23970201396847,676,581
089,1257,410472.038,264.329950342607,232.52100000000064,3442.9166516975038,106349.63742336114,279867.466903582,politik,-4.592256137640924e-16,1.0,245.9834565939773,280.4645977559689,446,408
090,996,381622.518,307.1525504613848,233.286,2921.6648835451942,111786.74976613796,294175.65727931046,politik,6.175309269893182e-16,1.0,270.86038739395525,387.10615995505765,375,298
091,1193,420866.663,269.903599246652,232.4270000000001,2816.4389823134948,96475.90034638619,253883.94827996366,politik,-1.9049776996198575e-16,1.0,258.17963923178496,304.5587592783267,428,379
092,1636,556657.487,280.50865991020186,232.9460000000008,3227.4419011382265,88929.45473110855,234024.88087133828,politik,2.0253101607959924e-16,1.0,285.6196383879326,282.2994058159211,558,545
093,1235,444848.121,294.96830780228566,245.50299999999993,2700.3646219282678,64981.9428795219,171005.1128408471,politik,-1.0778096503122028e-16,1.0,280.1970591013405,342.39582897521933,428,394
094,1210,427117.208,271.96162654059276,216.47499999999943,3327.5822698944603,123044.19901862455,323800.5237332225,politik,1.741262532815375e-16,1.0,248.31062006560396,292.57654681733834,443,391
095,1161,419217.708,293.74881530289304,224.72224999999983,2559.0346057413094,69412.98174908433,182665.74144495872,politik,-2.521371665673734e-16,1.0,312.93551109230606,340.90737174867564,393,392
096,1180,449589.943,313.30393111156377,249.41200000000003,2840.46481928142,85604.03621932288,225273.77952453386,politik,9.02341286639132e-19,1.0,306.0053936813777,365.47009385742535,416,377
097,1166,428121.597,294.1720029757321,241.45399999999975,2500.6231608474136,65197.726621489004,171572.96479339214,politik,-2.2924634103228775e-16,1.0,309.3912367164953,317.376522011708,386,384
098,1403,507493.756,302.25745914316025,249.60099999999994,3757.2061970869577,137457.2300466403,361729.55275431654,politik,4.947192610176596e-17,1.0,297.6543341643007,296.803620655581,489,478
099,1187,421359.545,282.33479859449506,232.639,3072.175813431685,112322.51613652671,295585.5687803335,politik,-8.761248921968581e-16,1.0,279.65151296995833,297.3511349483272,426,384
100,1570,478052.625,239.73626156610212,199.68099999999984,3394.2971655377155,106983.0945510547,281534.45934488083,politik,-1.3217056861841939e-17,1.0,235.70474947717298,252.66590369856007,542,503
101,1182,436142.804,309.68643500613774,249.5689999999995,2493.25655751657,59866.04813710172,157542.23193974138,politik,-3.7100561973083986e-16,1.0,308.7608709226353,310.716771501489,399,409
102,1053,390591.19,310.04328012806087,224.1854999999997,2252.6457289262717,57954.411978567,152511.61046991317,politik,-5.835950412276881e-16,1.0,266.2543415155989,442.1730849410028,394,317
103,1216,420892.286,285.4805624634885,232.7859999999996,2463.407038240758,59701.62473282817,157109.53877060045,politik,-1.8666840875628318e-16,1.0,268.944135547102,322.94790977049564,444,389
104,1204,440834.98699999996,310.79012094724635,237.3422499999997,3012.698179397707,72452.59342448656,190664.71953812253,politik,1.7828653442337827e-16,1.0,287.06737752304207,320.4035677967865,414,418
105,1730,570494.708,259.0292688448363,216.663,4017.419476506527,116358.76159828498,306207.2673639079,politik,3.7287100384852306e-16,1.0,240.07873072297687,285.87543639897814,613,558
106,1664,469308.977,200.02289308185877,182.903,4618.247813321059,135360.1508872685,356210.92338754877,meme,-9.601000769068276e-17,1.0,191.84824685905286,210.56653585612236,603,535
107,1603,494461.889,232.01317584660478,199.6634999999997,4948.579236352257,157321.1853882359,414003.11944272614,meme,-1.3881988715570447e-16,1.0,200.76200821604166,267.15206819308474,610,484
108,2102,564323.968,208.41729071904714,183.637999999999,4533.3750119971255,92296.3570015227,242885.15000400716,meme,-5.341697060239773e-16,1.0,196.3149288637821,219.02874213855944,731,681
109,1413,437647.553,236.29651334048847,199.93999999999994,4468.738803683833,164793.66664002373,433667.54378953617,meme,1.1348499053905241e-15,1.0,216.41824489045743,265.0756315690128,522,449
110,1217,381295.833,240.45840907552517,212.11450000000005,3109.5451454280246,101206.22120459982,266332.16106473637,meme,-2.995916618318386e-17,1.0,209.62619177520006,282.4353450931592,471,357
111,1013,360408.36,269.20700248517903,199.673,3117.495421091881,80417.50625744674,211625.01646696514,meme,2.3563100106072186e-16,1.0,207.5767366006488,362.54265541788146,400,313
112,1364,469481.839,266.9576227342964,216.3205000000007,2409.916170924933,48654.587815236555,128038.38898746463,meme,-1.1119962327250788e-15,1.0,216.18809428839097,324.8223616521517,567,396
113,1873,523469.052,211.7535006407358,183.7215000000001,4248.1154826396,85914.11941017299,226089.78792150793,meme,4.234509541141218e-16,1.0,193.65722811914625,248.28511354831102,666,575
114,1254,380618.518,226.65696957361604,191.6605000000003,3688.6830042366814,168991.52203370535,444714.5316676456,meme,-5.978982272941508e-17,1.0,211.51212495614962,231.74742917634967,463,395
115,1405,424890.499,229.4051756719722,203.78025000000008,3489.0422190594104,86085.69702989298,226541.30797340258,meme,-3.1695524145577915e-16,1.0,215.20694873687955,243.236900742167,508,446
116,1737,517308.898,228.6373550589902,191.5744999999997,4166.072480418454,130176.49679220143,342569.7284005301,meme,1.202849604232083e-16,1.0,212.64599784230623,248.27947296173525,621,541
117,1396,453181.972,250.63191947243445,204.25674999999993,3675.961181940643,105192.74774961371,276823.02039372036,meme,7.406872083757455e-17,1.0,216.74518347099138,282.8979889625455,533,426
118,1926,541406.925,216.852714165482,199.68100000000038,4490.896268016482,165147.85349062242,434599.61444900645,meme,4.527054224957766e-16,1.0,212.57115120991685,230.8206517010836,662,606
119,1581,452888.093,222.55135245876582,199.66199999999927,3743.9027635422676,117109.22670539432,308182.1755405114,meme,3.8288193101425377e-16,1.0,196.17740522436853,257.47025128286367,600,478
120,1748,536174.836,244.63174156937768,216.09474999999964,3449.1514992101384,149243.3236718565,392745.58861014864,meme,-6.143979385860351e-16,1.0,283.2439463591184,232.71848595776248,536,598
121,1367,424294.191,240.47782178215894,199.6754999999998,2928.1168454133845,92123.32585880274,242429.8048915862,meme,-1.0711999020415033e-16,1.0,205.2610880610601,299.1032360452786,542,407
122,1623,496704.708,238.202897041698,191.25250000000017,4659.476512454738,144067.8864443332,379126.0169587716,meme,-2.289991198887314e-16,1.0,203.66190908253,260.6026433204407,608,508
123,1135,372886.471,256.54044865991403,203.7615000000003,2985.1221797537205,54640.195261362445,143789.98752990118,meme,4.589345892017197e-17,1.0,223.27532491599834,287.04040284722765,430,368
124,1571,458055.559,213.60258485300872,183.64700000000016,3803.810106108788,89737.79762734547,236152.09901933023,meme,-3.316776377857691e-16,1.0,193.39618851101457,239.90401315630652,560,491
125,1676,473461.802,207.0781763711223,182.97600000000023,3608.7746819068625,94837.90710268692,249573.43974391298,meme,-1.848134221883659e-16,1.0,190.80187112252565,229.37564759264512,599,539
126,1871,529738.179,230.18243243449743,207.971,3332.9762799963087,42232.82215964123,111139.0056832664,politik,-2.933268233258981e-16,1.0,218.33978578701894,241.1798653451946,651,611
127,1605,508393.58,247.69659398259682,215.897,3467.5768538804855,98539.71242069198,259315.03268603157,text,8.494683098316627e-17,1.0,223.0805503880028,257.29733099170573,583,515
128,1603,510328.092,252.01283649201653,232.61299999999983,1985.0080372739392,19130.82612495247,50344.27927619071,text,-6.21497906672689e-16,1.0,233.50553169179608,295.54191541533197,582,503
129,1223,384697.653,247.97296691485724,199.67925000000002,2588.613917101578,60003.44117670546,157903.79257027755,ort,-4.437145315769949e-17,1.0,196.22718643178325,373.47734147734076,493,350
130,1780,526245.665,230.55505145017932,199.67799999999977,2994.4631387409227,94056.48873669148,247517.0756228723,ort,2.194119912361276e-16,1.0,229.29173411785234,275.8957312382712,609,557
131,1390,433417.368,227.62535598535274,199.616,3334.788597993441,108779.39875640793,286261.5756747577,person,4.901281294279145e-16,1.0,191.23097255054017,276.64922210790905,545,409
132,1636,476151.821,214.65530944310834,191.6699999999996,3797.3438456319454,75404.28108569357,198432.31864656205,person,-6.0458804681612e-16,1.0,209.25024926772835,226.70902710133836,562,528
133,1528,449844.591,219.34734527217952,183.259,3799.9023412766865,139891.3722712535,368135.1901875092,person,-2.4611207949998327e-16,1.0,202.1582044239135,248.53655928880144,549,479
134,1788,565233.498,241.84714920695706,208.00099999999983,3452.332232354547,93867.50129390911,247019.74024712926,politik,1.9424368390009287e-16,1.0,217.35055291078234,266.0924127730413,664,559
135,1085,387342.147,291.62309447352726,217.067,2177.728968896316,47372.810176405175,124665.28993790837,politik,4.181556273665052e-16,1.0,245.91446302595506,371.67057542845833,422,315
136,2187,613784.194,212.77611648802414,199.66699999999943,4362.918036570826,83572.25616121743,219926.9898979406,politik,4.2149756394246706e-16,1.0,202.54002426781085,218.93591284179848,765,718
137,1361,445510.181,270.07072624712663,228.67499999999987,2909.5063172908267,89232.68899249886,234822.86576973388,politik,-3.795424279774971e-17,1.0,255.45839497077168,297.0642398995969,494,435
138,1835,550469.151,239.05228735744993,199.68100000000004,2778.4099082177854,74348.48727816872,195653.9138899177,politik,-1.873917820845407e-16,1.0,226.43170350143956,273.6024504791668,661,561
139,1870,632672.62,284.14699628459476,224.86099999999985,3006.810301772059,104852.79973795493,275928.4203630393,politik,4.3768846193982893e-16,1.0,269.32897293278995,323.0338170584251,681,581
140,1820,536635.878,231.61791873447254,216.07000000000045,3255.2473372925474,37599.114410998074,98945.03792367915,politik,-2.537344856102451e-16,1.0,217.4114440772037,243.0669699133095,623,584
141,2357,662198.846,211.19434690078333,199.63975000000028,5109.526714661312,187075.408107718,492303.7055466263,politik,2.2036264232851484e-16,1.0,216.52994427163267,216.51251997389147,784,772
142,1260,382023.734,231.34525206972165,183.8180000000002,2642.929070913729,53334.21906773159,140353.20807297787,text,-2.351005857842822e-16,1.0,193.72093745976403,303.3609778788379,487,375
