participant,image_id,code,primary_label,label_set,file,path,code_meme,code_person,code_politik,code_ort,code_text
000,088,00111,multi,"politik,ort,text",P000_id088_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id088_politik_00111.csv,0,0,1,1,1
000,089,00110,multi,"politik,ort",P000_id089_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id089_politik_00110.csv,0,0,1,1,0
000,090,00110,multi,"politik,ort",P000_id090_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id090_politik_00110.csv,0,0,1,1,0
000,091,00110,multi,"politik,ort",P000_id091_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id091_politik_00110.csv,0,0,1,1,0
000,092,00111,multi,"politik,ort,text",P000_id092_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id092_politik_00111.csv,0,0,1,1,1
000,093,00110,multi,"politik,ort",P000_id093_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id093_politik_00110.csv,0,0,1,1,0
000,094,00110,multi,"politik,ort",P000_id094_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id094_politik_00110.csv,0,0,1,1,0
000,095,00110,multi,"politik,ort",P000_id095_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id095_politik_00110.csv,0,0,1,1,0
000,096,00110,multi,"politik,ort",P000_id096_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id096_politik_00110.csv,0,0,1,1,0
000,097,00110,multi,"politik,ort",P000_id097_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id097_politik_00110.csv,0,0,1,1,0
000,098,00110,multi,"politik,ort",P000_id098_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id098_politik_00110.csv,0,0,1,1,0
000,099,00111,multi,"politik,ort,text",P000_id099_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id099_politik_00111.csv,0,0,1,1,1
000,100,00111,multi,"politik,ort,text",P000_id100_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id100_politik_00111.csv,0,0,1,1,1
000,101,00110,multi,"politik,ort",P000_id101_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id101_politik_00110.csv,0,0,1,1,0
000,102,00111,multi,"politik,ort,text",P000_id102_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id102_politik_00111.csv,0,0,1,1,1
000,103,00110,multi,"politik,ort",P000_id103_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id103_politik_00110.csv,0,0,1,1,0
000,104,00110,multi,"politik,ort",P000_id104_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id104_politik_00110.csv,0,0,1,1,0
000,105,00110,multi,"politik,ort",P000_id105_politik_00110.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id105_politik_00110.csv,0,0,1,1,0
000,106,10011,multi,"meme,ort,text",P000_id106_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id106_meme_10011.csv,1,0,0,1,1
000,107,10111,multi,"meme,politik,ort,text",P000_id107_meme_10111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id107_meme_10111.csv,1,0,1,1,1
000,108,10001,multi,"meme,text",P000_id108_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id108_meme_10001.csv,1,0,0,0,1
000,109,10011,multi,"meme,ort,text",P000_id109_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id109_meme_10011.csv,1,0,0,1,1
000,110,10001,multi,"meme,text",P000_id110_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id110_meme_10001.csv,1,0,0,0,1
000,111,10001,multi,"meme,text",P000_id111_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id111_meme_10001.csv,1,0,0,0,1
000,112,10001,multi,"meme,text",P000_id112_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id112_meme_10001.csv,1,0,0,0,1
000,113,10001,multi,"meme,text",P000_id113_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id113_meme_10001.csv,1,0,0,0,1
000,114,10001,multi,"meme,text",P000_id114_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id114_meme_10001.csv,1,0,0,0,1
