file,n_fix,view_time_total,sum_fix_dur,fix_dur_mean,fix_dur_median,scanpath_length,bcea_68,bcea_95,participant,image_id,primary_label
P043_id007_meme_10000.csv,14,5593.925,4426.739,316.19564285714284,200.27899999999985,1916.4632327742625,74305.02939446154,195539.55103805667,043,007,meme
P043_id008_meme_10000.csv,16,5620.699,4223.803999999999,263.98774999999995,199.35449999999992,2167.975835952079,110986.45108968753,292069.60813075665,043,008,meme
P043_id009_meme_10000.csv,29,8935.596,7340.142000000002,253.10834482758625,249.6,3550.0446196617527,76828.2163731504,202179.51677144843,043,009,meme
P043_id010_meme_10000.csv,37,11980.862,10685.812,288.8057297297297,266.5030000000006,2923.415397548087,46315.796757186785,121883.67567680734,043,010,meme
P043_id011_ort_01001.csv,23,5391.389,4463.427,194.06204347826085,183.6389999999999,1988.5681562091079,43489.37513708998,114445.72404497363,043,011,ort
P043_id012_ort_01001.csv,50,12297.418,10549.705999999996,210.99411999999992,216.1014999999997,5196.796513851109,78095.48206817229,205514.42649519024,043,012,ort
P043_id013_ort_01001.csv,29,7620.836,6044.096,208.41710344827584,199.68200000000024,2828.553344850775,85111.83789742184,223978.52078268904,043,013,ort
P043_id014_ort_01000.csv,16,5257.53,4410.842000000001,275.67762500000003,266.0409999999998,2192.988130962397,59245.50299452564,155909.21840664645,043,014,ort
P043_id015_ort_01001.csv,29,11980.69,11304.101000000004,389.7965862068967,316.6019999999989,1930.826079181389,39035.31250034598,102724.50657985786,043,015,ort
P043_id016_ort_01001.csv,33,8286.784,7424.759000000002,224.99269696969702,199.77,2597.8391633485594,41109.72166180062,108183.47805737007,043,016,ort
P043_id017_ort_01001.csv,19,5625.091,4613.461000000001,242.81373684210533,199.6819999999998,2035.545238434308,48123.86656417479,126641.75411624943,043,017,ort
P043_id018_ort_01000.csv,15,5291.573,3861.212000000002,257.41413333333344,266.49000000000024,2014.4737319973367,49254.02547537592,129615.85651414718,043,018,ort
P043_id019_ort_01000.csv,36,13046.467,11386.612000000001,316.2947777777778,316.5535,5037.745407770303,105154.7619340553,276723.0577211982,043,019,ort
P043_id020_ort_01000.csv,24,7720.696,6555.929000000002,273.16370833333343,257.5545000000002,2589.923694498055,51778.30918763412,136258.70838851086,043,020,ort
P043_id021_ort_01000.csv,17,5191.619,4577.930000000001,269.2900000000001,233.53099999999995,2425.376269314693,34460.872975270104,90686.50782965818,043,021,ort
P043_id022_ort_01000.csv,21,6339.859,5229.314999999999,249.01499999999993,233.55899999999983,2387.981963485419,116629.3667997186,306919.38631504896,043,022,ort
P043_id023_ort_01000.csv,17,5091.992,4509.865,265.2861764705882,249.6199999999999,1623.7755671383775,40211.666122525516,105820.17400664609,043,023,ort
P043_id024_ort_01000.csv,17,7022.751,5425.546,319.1497647058824,266.45899999999983,1570.0471307815117,39202.95734125863,103165.67721383853,043,024,ort
P043_id025_ort_01000.csv,28,11864.96,10335.747999999998,369.13385714285704,307.96400000000006,2932.2523177640883,147397.65836342788,387888.57464059966,043,025,ort
P043_id026_ort_01000.csv,20,6423.707,5557.874999999999,277.89374999999995,266.56749999999965,2455.3642804455817,93858.3303881212,246995.60628452952,043,026,ort
P043_id027_ort_01000.csv,28,9900.825,7940.062,283.57364285714283,233.17549999999983,2909.67732951371,36369.374672521175,95708.880717161,043,027,ort
P043_id028_ort_01000.csv,14,5141.615,4242.667999999999,303.0477142857142,257.6895000000002,1877.5069214954115,44250.302891254345,116448.1655033009,043,028,ort
